OpenAlexID,DOI,RSD UUID,type,year,author position,citations,open access,project,project type,source,title
W3198760715,10.1145/3468267.3470611,caddecec-296e-4392-9f3c-a4b17cf7d40c,conferencePaper,2021,first,1,true,towards-large-scale-cloud-resolving-climate-simulations,INTERNAL,Proceedings of the Platform for Advanced Scientific Computing Conference,Performance optimization and load-balancing modeling for superparametrization by 3D LES
W4412605206,10.1109/ipdps64566.2025.00066,cd15e899-9134-4f36-ab7c-6a94f6566473,conferencePaper,2025,first,0,false,esiwace3,EXTERNAL,2025 IEEE International Parallel and Distributed Processing Symposium (IPDPS),Accelerating the Dutch Atmospheric Large-Eddy Simulation (DALES) Model with OpenACC
W3171892311,null,da4bd338-f01f-4401-b821-48694516298c,conferencePaper,2019,none,0,false,abc-muse,INTERNAL,EGU General Assembly Conference Abstracts,Simulating the waves on Huygens' moon Titan
W3190369129,null,c1baa46c-1a2d-4f30-bda7-08ee49898dc0,conferencePaper,2019,none,0,false,mosaic,INTERNAL,AGU Fall Meeting Abstracts,How to advance the global modelling of tropical cyclone-generated storm surges?
W3094040689,10.23919/ursigass49373.2020.9232218,989dde76-590a-4531-aad7-6028b362510c,conferencePaper,2020,none,0,false,triple-a-2,INTERNAL,2020 XXXIIIrd General Assembly and Scientific Symposium of the International Union of Radio Science,Radio-Astronomical Imaging with WSClean and Image-Domain Gridding
W6980815232,null,d2fa7354-a0ae-49ac-a5ee-a30cc855b7ba,conferencePaper,2022,none,0,true,the-eye-of-the-beholder,INTERNAL,,CrowdIQ: An ontology for crowdsourced information quality assessments
W7028638909,null,443e64c5-e2cc-43c5-8ee5-9a1713a3b272,conferencePaper,2022,none,0,true,the-eye-of-the-beholder,INTERNAL,,Fostering explainable online review assessment through computational argumentation
W3003935331,null,63662000-2430-4712-95f6-626f4d5ded66,conferencePaper,2019,middle,1,true,ticclat,INTERNAL,"Reynaert, M, Bos, P & van der Zwaan, J 2019, Granularity versus Dispersion in the Dutch Diachronical Database of Lexical Frequencies TICCLAT. in Proceedings of CLARIN Annual Conference 2019 -- Conference Proceedings. CLARIN ERIC, CLARIN Annual Conference 2019, Leipzig, Germany, 30/09/19.",Granularity versus Dispersion in the Dutch Diachronical Database of Lexical Frequencies TICCLAT
W3004169702,null,c45f20bb-abb7-4773-85ae-d6c1ef4ae16f,conferencePaper,2019,middle,0,true,ticclat,INTERNAL,"Reynaert, M, van der Zwaan, J & Bos, P 2019, TICCLAT: a Dutch diachronical database of linked word-variants. in Proceedings of DH Benelux Conference 2019. Digital Humanities Benelux 2019, Liege, Belgium, 11/09/19. < http://2019.dhbenelux.org/wp-content/uploads/sites/13/2019/08/DH_Benelux_2019_paper_46.pdf >",TICCLAT: a Dutch diachronical database of linked word-variants
W3215553101,10.1145/3460210.3493546,6151d245-b7b7-44bb-8189-b86f6e3e13c9,conferencePaper,2021,first,10,true,fair-is-as-fair-does,INTERNAL,Proceedings of the 11th Knowledge Capture Conference,User-friendly Composition of FAIR Workflows in a Notebook Environment
W7030386727,null,ddde3021-ab0e-401e-883a-7458ee2af5bf,conferencePaper,2022,none,0,true,fair-is-as-fair-does,INTERNAL,"Giraldo, O, Ruano, M, Richardson, R A, Celebi, R, Dumontier, M & Kuhn, T 2022, Nanotate: Semantically Annotating Experimental Protocols with Nanopublications. in Workshop proceedings of the 13th International Conference on Semantic Web Applications and Tools for Health Care and Life Sciences. vol. 3127, CEUR Workshop Proceedings, pp. 64-73, 13th International SWAT4HCLS Conference, Leiden (Virtual event), Netherlands, 10/01/22. < http://ceur-ws.org/Vol-3127/ >",Nanotate: Semantically annotating experimental protocols with nanopublications
W4407362617,10.1109/isgteurope62998.2024.10863244,04345b82-722f-428d-a18c-3938d2b09fe8,conferencePaper,2024,middle,0,false,demoses,EXTERNAL,2024 IEEE PES Innovative Smart Grid Technologies Europe (ISGT EUROPE),Coordinated flexibility scheduling in multi-carrier integrated energy systems: a model coupling approach
W6983117730,null,f0b3c2db-feb9-4e18-9e4b-da4b19412774,conferencePaper,2023,none,0,true,perfect-fit,INTERNAL,,Lessons learnt in developing a virtual coach for smoking cessation and physical activity promotion
W4293714234,10.1145/3514197.3551252,b4daabbf-1880-4639-a320-57c22d2c02e0,conferencePaper,2022,first,4,true,perfect-fit,INTERNAL,Proceedings of the 22nd ACM International Conference on Intelligent Virtual Agents,Reusable virtual coach for smoking cessation and physical activity coaching
